<DOC>	<DOC>+BDTag
bir	bir+ADJ
büyük	büyük+ADJ
fark	fark+NOUN+A3SG+PNON+NOM
bu	bu+DET
kadar	kadar+POSTP+PCDAT
rahatlatıcı	rahatla+VERB^DB+VERB+CAUS+POS^DB+ADJ+AGT
değildir	değil+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Tutar	tutar+NOUN+A3SG+PNON+NOM
New	New+NOUN+PROP+A3SG+PNON+NOM
York	york+NOUN+PROP+A3SG+PNON+NOM
Piyasa	piyasa+NOUN+A3SG+PNON+NOM
Döviz	döviz+NOUN+A3SG+PNON+NOM
üzerinde	üzerinde+ADV
176.1	176.1+NUM+REAL
milyon	milyon+NUM+CARD
hisseye	hisse+NOUN+A3SG+PNON+DAT
ulaştı	ulaş+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Birçok	birçok+DET
birikmiş	birik+VERB+POS+NARR^DB+ADJ+ZERO
talep	talep+NOUN+A3SG+PNON+NOM
gitti	git+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İlerleyen	ilerle+VERB+POS^DB+ADJ+PRESPART
sonuçlar	sonuç+NOUN+A3PL+PNON+NOM
Big	Big+NOUN+PROP+A3SG+PNON+NOM
Board	Board+NOUN+PROP+A3SG+PNON+NOM
üzerine	üzerine+ADV
öncesinde	önce+NOUN+A3SG+P3SG+LOC
düşenleri	düş+VERB+POS^DB+ADJ+PRESPART^DB+NOUN+ZERO+A3PL+PNON+ACC
1.111'e	1.111+NUM+REAL^DB+NOUN+ZERO+A3SG+PNON+DAT
arttı	art+VERB+POS+PAST+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
başka	başka+POSTP+PCABL
yerdeki	yer+NOUN+A3SG+PNON+LOC^DB+ADJ+REL
güç	güç+NOUN+A3SG+PNON+NOM
tarafından	taraf+NOUN+A3SG+P3SG+ABL
dengelendi	dengele+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Senet	senet+NOUN+A3SG+PNON+NOM
fiyatları	fiyat+NOUN+A3SG+P3PL+NOM
yükseldi	yüksel+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
,	,+PUNC
süreçte	süreç+NOUN+A3SG+PNON+LOC
,	,+PUNC
Fed	fed+NOUN+PROP+A3SG+PNON+NOM
enflasyonu	enflasyon+NOUN+A3SG+PNON+ACC
ateşlemeyi	ateşle+VERB+POS^DB+NOUN+INF2+A3SG+PNON+ACC
risk	risk+NOUN+A3SG+PNON+NOM
eder	et+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Verim	verim+NOUN+A3SG+PNON+NOM
bu	bu+DET
konu	konu+NOUN+A3SG+PNON+NOM
üzerine	üzerine+ADV
%	%+PERCENT
7.91'e	7.91+NUM+REAL^DB+NOUN+ZERO+A3SG+PNON+DAT
geriledi	gerile+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Wall	wall+NOUN+PROP+A3SG+PNON+NOM
Street'te	street+NOUN+PROP+A3SG+PNON+LOC
Bir	bir+DET
panik	panik+NOUN+A3SG+PNON+NOM
pek	pek+ADV
de	de+CONJ
güven	güven+NOUN+A3SG+PNON+NOM
ilham	ilham+NOUN+A3SG+PNON+NOM
etmez	et+VERB+NEG+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Dolar	dolar+NOUN+A3SG+PNON+NOM
bir	bir+DET
çok	çok+ADJ
yabancı	yabancı+ADJ
dövizlerin	döviz+NOUN+A3PL+PNON+GEN
tersine	tersine+ADV
arttı	art+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Anketler	anket+NOUN+A3PL+PNON+NOM
tüketici	tüketici+NOUN+A3SG+PNON+NOM
güveninin	güven+NOUN+A3SG+P3SG+GEN
Cuma	cuma+NOUN+PROP+A3SG+PNON+NOM
öncesi	önce+NOUN+A3SG+P3SG+NOM
yüksek	yüksek+ADJ
olduğunu	ol+VERB+POS^DB+NOUN+PASTPART+A3SG+P3SG+ACC
söyledi	söyle+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Gelir	gelir+NOUN+A3SG+PNON+NOM
%	%+PERCENT
21	21+NUM+CARD
18.69	18.69+NUM+REAL
milyar	milyar+NUM+CARD
frank'tan	frank+NOUN+PROP+A3SG+PNON+ABL
22.61	22.61+NUM+REAL
milyar	milyar+NUM+CARD
Frank'a	frank+NOUN+PROP+A3SG+PNON+DAT
yükseldi	yüksel+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Felaket	felaket+NOUN+A3SG+PNON+NOM
tellalları	tellal+NOUN+A3PL+P3PL+NOM
alıcı	al+VERB+POS^DB+ADJ+AGT
bir	bir+DET
dinleyiciye	dinle+VERB+POS^DB+NOUN+AGT+A3SG+PNON+DAT
sahipti	sahip+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Şirket	şirket+NOUN+A3SG+PNON+NOM
yüksek	yüksek+ADJ
gelirler	gelir+NOUN+A3PL+PNON+NOM
kazancı	kazanç+NOUN+A3SG+P3SG+NOM
için	için+POSTP+PCNOM
neden	neden+NOUN+A3SG+PNON+NOM
belirtmedi	belirt+VERB+NEG+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kara	kara+NOUN+PROP+A3SG+PNON+NOM
pazartesiyi	pazartesi+NOUN+A3SG+PNON+ACC
izleyen	izle+VERB+POS^DB+ADJ+PRESPART
refah	refah+NOUN+A3SG+PNON+NOM
bugün	bugün+NOUN+A3SG+PNON+NOM
daha	daha+ADV
iyimser	iyimser+ADJ
bir	bir+DET
bakışa	bak+VERB+POS^DB+NOUN+INF3+A3SG+PNON+DAT
izin	izin+NOUN+A3SG+PNON+NOM
veriyor	ver+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Grup	grup+NOUN+A3SG+PNON+NOM
56.9	56.9+NUM+REAL
milyar	milyar+NUM+CARD
frank'tan	frank+NOUN+PROP+A3SG+PNON+ABL
1989	1989+NUM+CARD
gelir	gelir+NOUN+A3SG+PNON+NOM
tahminleri	tahmin+NOUN+A3PL+P3SG+NOM
vardır	var+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
kez	kez+NOUN+A3SG+PNON+NOM
daha	daha+ADV
sofistikeler	sofistike+ADJ^DB+VERB+ZERO+PRES+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Geçen	geçen+ADJ
sene	sene+NOUN+A3SG+PNON+NOM
sonuçlar	sonuç+NOUN+A3PL+PNON+NOM
hükümet	hükümet+NOUN+A3SG+PNON+NOM
yönetmeliği	yönetmelik+NOUN+A3SG+P3SG+NOM
ile	ile+POSTP+PCNOM
uymak	uy+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
için	için+POSTP+PCNOM
yeniden	yeniden+ADV
ifade	ifade+NOUN+A3SG+PNON+NOM
edildi	et+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
beş	beş+NUM+CARD
ya	ya+CONJ
da	da+CONJ
altı	altı+NUM+CARD
düşük	düşük+ADJ
çeyreğin	çeyrek+NOUN+A3SG+PNON+GEN
ilki	ilk+ADJ^DB+NOUN+ZERO+A3SG+P3SG+NOM
olabilir	ol+VERB+POS^DB+VERB+ABLE+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
yeniden	yeniden+ADV
yapılanma	yapı+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS^DB+NOUN+INF2+A3SG+PNON+NOM
programı	program+NOUN+A3SG+P3SG+NOM
şirketin	şirket+NOUN+A3SG+PNON+GEN
gerçek	gerçek+ADJ
sermaye	sermaye+NOUN+A3SG+PNON+NOM
oran	oran+NOUN+A3SG+PNON+NOM
artışı	art+VERB+POS^DB+NOUN+INF3+A3SG+P3SG+NOM
için	için+POSTP+PCNOM
tasarlanmıştır	tasarla+VERB^DB+VERB+PASS+POS+NARR+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bir	bir+DET
Dow	dow+NOUN+PROP+A3SG+PNON+NOM
sözcüsü	sözcü+NOUN+A3SG+P3SG+NOM
tahminler	tahmin+NOUN+A3PL+PNON+NOM
üzerine	üzerine+ADV
yorum	yorum+NOUN+A3SG+PNON+NOM
yapmayı	yap+VERB+POS^DB+NOUN+INF2+A3SG+PNON+ACC
reddetti	reddet+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Başlangıç	başlangıç+NOUN+A3SG+PNON+NOM
noktalar	nokta+NOUN+A3PL+PNON+NOM
sabah	sabah+NOUN+A3SG+PNON+NOM
ve	ve+CONJ
altın	altın+ADJ
saat	saat+NOUN+A3SG+PNON+NOM
haber	haber+NOUN+A3SG+PNON+NOM
gösterileri	gösteri+NOUN+A3SG+P3PL+NOM
sırasında	sıra+NOUN+A3SG+P3SG+LOC
görünür	görün+VERB+POS+AOR+A3SG
olacaktır	ol+VERB+POS+FUT+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Onunun	on+NUM+CARD^DB+NOUN+ZERO+A3SG+P3SG+GEN
çoğu	çoğu+PRON+QUANTP+A3PL+P3PL+NOM
büyük	büyük+ADJ
ürün	ürün+NOUN+A3SG+PNON+NOM
kimyasalları	kimyasal+NOUN+A3PL+P3PL+NOM
faaliyetlerine	faaliyet+NOUN+A3PL+P3SG+DAT
sahip	sahip+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Nasdaq	Nasdaq+NOUN+PROP+A3SG+PNON+NOM
Composite	Composite+NOUN+PROP+A3SG+PNON+NOM
indeks	indeks+NOUN+A3SG+PNON+NOM
4.26	4.26+NUM+REAL
,	,+PUNC
veya	veya+CONJ
yaklaşık	yaklaşık+ADJ
0.94	0.94+NUM+REAL
%	%+PERCENT
,	,+PUNC
455.63'e	455.63+NUM+REAL^DB+NOUN+ZERO+A3SG+PNON+DAT
arttı	art+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Du	du+NOUN+PROP+A3SG+PNON+NOM
Pont	Pont+NOUN+PROP+A3SG+PNON+NOM
yorum	yorum+NOUN+A3SG+PNON+NOM
yapmayı	yap+VERB+POS^DB+NOUN+INF2+A3SG+PNON+ACC
reddetti	reddet+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İlerleyen	ilerle+VERB+POS^DB+ADJ+PRESPART
OTC	OTC+NOUN+PROP+A3SG+PNON+NOM
hisse	hisse+NOUN+A3SG+PNON+NOM
senetleri	senet+NOUN+A3PL+P3SG+NOM
düşenler	düş+VERB+POS^DB+ADJ+PRESPART^DB+NOUN+ZERO+A3PL+PNON+NOM
ile	ile+POSTP+PCNOM
1120'den	1120+NUM+CARD^DB+NOUN+ZERO+A3SG+PNON+ABL
806'ya	806+NUM+CARD^DB+NOUN+ZERO+A3SG+PNON+DAT
çıkmıştır	çık+VERB+POS+NARR+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Monsanto	Monsanto+NOUN+PROP+A3SG+PNON+NOM
için	için+POSTP+PCNOM
Çoğu	çoğu+ADJ
tahminler	tahmin+NOUN+A3PL+PNON+NOM
bir	bir+DET
hisseye	hisse+NOUN+A3SG+PNON+DAT
1.70	1.7+NUM+REAL
Dolar	dolar+NOUN+A3SG+PNON+NOM
ve	ve+CONJ
2	2+NUM+CARD
Dolar	dolar+NOUN+A3SG+PNON+NOM
arasında	ara+NOUN+A3SG+P3SG+LOC
gidiyor	git+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
bu	bu+DET
hareket	hareket+NOUN+A3SG+PNON+NOM
New	New+NOUN+PROP+A3SG+PNON+NOM
York	york+NOUN+PROP+A3SG+PNON+NOM
Döviz	döviz+NOUN+A3SG+PNON+NOM
Piyasa	piyasa+NOUN+A3SG+PNON+NOM
konusunda	konu+NOUN+A3SG+P3SG+LOC
bir	bir+DET
kuvvetli	kuvvet+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
artışı	art+VERB+POS^DB+NOUN+INF3+A3SG+P3SG+NOM
duraklattı	durakla+VERB^DB+VERB+CAUS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Monsanto	Monsanto+NOUN+PROP+A3SG+PNON+NOM
yorum	yorum+NOUN+A3SG+PNON+NOM
yapmayı	yap+VERB+POS^DB+NOUN+INF2+A3SG+PNON+ACC
reddetti	reddet+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Nasdaq'ın	nasdaq+NOUN+PROP+A3SG+PNON+GEN
geliri	gelir+NOUN+A3SG+P3SG+NOM
onun	o+PRON+PERS+A3SG+PNON+GEN
en	en+ADV
büyük	büyük+ADJ
sanayi	sanayi+NOUN+A3SG+PNON+NOM
piyasalar	piyasa+NOUN+A3PL+PNON+NOM
ile	ile+POSTP+PCNOM
neden	neden+ADV
oldu	ol+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
kimyasal	kimyasal+ADJ
ham	ham+NOUN+A3SG+PNON+NOM
madde	madde+NOUN+A3SG+PNON+NOM
üreticileri	üretici+NOUN+A3PL+P3SG+NOM
bir	bir+DET
fiyatlandırma	fiyatlandır+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
döngüsünün	döngü+NOUN+A3SG+P3SG+GEN
inen	in+VERB+POS^DB+ADJ+PRESPART
tarafında	taraf+NOUN+A3SG+P3SG+LOC
yakalandılar	yakala+VERB^DB+VERB+PASS+POS+PAST+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Nasdaq	Nasdaq+NOUN+PROP+A3SG+PNON+NOM
100	100+NUM+CARD
7.08	7.08+NUM+REAL
445.23'e	445.23+NUM+REAL^DB+NOUN+ZERO+A3SG+PNON+DAT
yükseldi	yüksel+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
tahminler	tahmin+NOUN+A3PL+PNON+NOM
ucu	uç+NOUN+A3SG+P3SG+NOM
ucuna	uç+NOUN+A3SG+P3SG+DAT
bir	bir+DET
hisseye	hisse+NOUN+A3SG+PNON+DAT
35	35+NUM+CARD
sente	sent+NOUN+A3SG+PNON+DAT
değişiyor	değiş+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
100	100+NUM+CARD
en	en+ADV
büyük	büyük+ADJ
bankalar	banka+NOUN+A3PL+PNON+NOM
ve	ve+CONJ
sigorta	sigorta+NOUN+A3SG+PNON+NOM
konusunun	konu+NOUN+A3SG+P3SG+GEN
mali	mali+ADJ
indeksi	indeks+NOUN+A3SG+P3SG+NOM
2.19	2.19+NUM+REAL
447.76'ya	447.76+NUM+REAL^DB+NOUN+ZERO+A3SG+PNON+DAT
arttı	art+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Himont	Himont+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
Quantum	quantum+NOUN+PROP+A3SG+PNON+NOM
ve	ve+CONJ
Union	Union+NOUN+PROP+A3SG+PNON+NOM
Carbide	Carbide+NOUN+PROP+A3SG+PNON+NOM
hepsi	hepsi+PRON+QUANTP+A3PL+P3PL+NOM
yorum	yorum+NOUN+A3SG+PNON+NOM
yapmayı	yap+VERB+POS^DB+NOUN+INF2+A3SG+PNON+ACC
reddetti	reddet+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Milli	milli+ADJ
Piyasa	piyasa+NOUN+A3SG+PNON+NOM
Sistem	sistem+NOUN+A3SG+PNON+NOM
tutarı	tutar+NOUN+A3SG+P3SG+NOM
94425000	94425000+NUM+CARD
hisseden	hisse+NOUN+A3SG+PNON+ABL
Pazartesi	pazartesi+NOUN+A3SG+PNON+NOM
71.7	71.7+NUM+REAL
milyon'a	milyon+NUM+CARD^DB+NOUN+ZERO+A3SG+PNON+DAT
yükseldi	yüksel+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Dow	dow+NOUN+PROP+A3SG+PNON+NOM
Kimyasal	kimyasal+ADJ
Şirketi	şirket+NOUN+A3SG+PNON+ACC
--	--+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Nasdaq'ın	nasdaq+NOUN+PROP+A3SG+PNON+GEN
en	en+ADV
büyük	büyük+ADJ
teknoloji	teknoloji+NOUN+A3SG+PNON+NOM
piyasasından	piyasa+NOUN+A3SG+P3SG+ABL
birçoğu	birçoğu+NOUN+A3SG+PNON+NOM
toplantının	toplantı+NOUN+A3SG+PNON+GEN
ön	ön+ADJ
planda	plan+NOUN+A3SG+PNON+LOC
oldular	ol+VERB+POS+PAST+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Centel	Centel+NOUN+PROP+A3SG+PNON+NOM
Capital	Capital+NOUN+PROP+A3SG+PNON+NOM
Corp.	Corp.+NOUN+PROP+A3SG+PNON+NOM
--	--+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Intel	Intel+NOUN+PROP+A3SG+PNON+NOM
1	1+NUM+CARD
3\/8'den	3\/8+NUM+FRACTION^DB+NOUN+ZERO+A3SG+PNON+ABL
33	33+NUM+CARD
3\/4	3\/4+NUM+FRACTION
üstündeydi	üst+NOUN+A3SG+P3SG+LOC^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Federal	federal+NOUN+PROP+A3SG+PNON+NOM
Ev	ev+NOUN+A3SG+PNON+NOM
Borcu	borç+NOUN+A3SG+P3SG+NOM
Morgıç	Morgıç+NOUN+PROP+A3SG+PNON+NOM
Şirketi	şirket+NOUN+A3SG+P3SG+NOM
--	--+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
OTC	OTC+NOUN+PROP+A3SG+PNON+NOM
teknoloji	teknoloji+NOUN+A3SG+PNON+NOM
sektörü	sektör+NOUN+A3SG+P3SG+NOM
bir	bir+DET
tutarlı	tutarlı+ADJ
birimden	birim+NOUN+A3SG+PNON+ABL
uzaktır	uzak+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Federal	federal+NOUN+PROP+A3SG+PNON+NOM
Ev	ev+NOUN+A3SG+PNON+NOM
Borcu	borç+NOUN+A3SG+P3SG+NOM
Morgıç	Morgıç+NOUN+PROP+A3SG+PNON+NOM
Şirketi	şirket+NOUN+A3SG+P3SG+NOM
--	--+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Grup	grup+NOUN+A3SG+PNON+NOM
temelde	temel+NOUN+A3SG+PNON+LOC
yazılım	yazılım+NOUN+A3SG+PNON+NOM
,	,+PUNC
yarı	yarı+ADJ
iletkenler	iletken+ADJ^DB+NOUN+ZERO+A3PL+PNON+NOM
ve	ve+CONJ
bilgisayarlar	bilgisayar+NOUN+A3PL+PNON+NOM
arasında	ara+NOUN+A3SG+P3SG+LOC
bölünmüştür	bölün+VERB+POS+NARR+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fiyatlandırma	fiyatlandır+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
ayrıntıları	ayrıntı+NOUN+A3PL+P3SG+NOM
hemen	hemen+ADV
erişilebilir	eriş+VERB^DB+VERB+PASS+POS^DB+VERB+ABLE+AOR^DB+ADJ+ZERO
değildi	değil+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Dün	dün+NOUN+A3SG+PNON+NOM
,	,+PUNC
banka	banka+NOUN+A3SG+PNON+NOM
hisseleri	hisse+NOUN+A3SG+P3PL+NOM
ortalama	ortala+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
OTC	OTC+NOUN+PROP+A3SG+PNON+NOM
piyasa	piyasa+NOUN+A3SG+PNON+NOM
arkasına	arka+NOUN+A3SG+P3SG+DAT
durakladı	durakla+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Federal	federal+NOUN+PROP+A3SG+PNON+NOM
Ev	ev+NOUN+A3SG+PNON+NOM
Borcu	borç+NOUN+A3SG+P3SG+NOM
Morgıç	Morgıç+NOUN+PROP+A3SG+PNON+NOM
Şirketi	şirket+NOUN+A3SG+P3SG+NOM
--	--+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Nasdaq	Nasdaq+NOUN+PROP+A3SG+PNON+NOM
Bankası	banka+NOUN+A3SG+P3SG+NOM
endeksi	endeks+NOUN+A3SG+P3SG+NOM
0.17	0.17+NUM+REAL
432.78'e	432.78+NUM+REAL^DB+NOUN+ZERO+A3SG+PNON+DAT
yükseldi	yüksel+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
BT	BT+NOUN+PROP+A3SG+PNON+NOM
Securities	Securities+NOUN+PROP+A3SG+PNON+NOM
Şirketi	şirket+NOUN+A3SG+PNON+ACC
tarafından	taraf+NOUN+A3SG+P3SG+ABL
teminat	teminat+NOUN+A3SG+PNON+NOM
verilen	ver+VERB^DB+VERB+PASS+POS^DB+ADJ+PRESPART
yalın	yalın+ADJ
ipotek	ipotek+NOUN+A3SG+PNON+NOM
menkul	menkul+ADJ
kıymetlerinin	kıymet+NOUN+A3PL+P3SG+GEN
200	200+NUM+CARD
milyon	milyon+NUM+CARD
Dolar'ı	dolar+NOUN+PROP+A3SG+PNON+ACC
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
,	,+PUNC
o	o+PRON+PERS+A3SG+PNON+NOM
ekledi	ekle+VERB+POS+PAST+A3SG
,	,+PUNC
faiz	faiz+NOUN+A3SG+PNON+NOM
oranına	oran+NOUN+A3SG+P3SG+DAT
duyarlı	duyarlı+ADJ
hisseler	hisse+NOUN+A3PL+PNON+NOM
genelde	genel+ADJ^DB+NOUN+ZERO+A3SG+PNON+LOC
duraklamıştır	durakla+VERB+POS+NARR+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Teminat	teminat+NOUN+A3SG+PNON+NOM
cimri	cimri+NOUN+A3SG+PNON+NOM
bir	bir+DET
kurum	kurum+NOUN+A3SG+PNON+NOM
tarafından	taraf+NOUN+A3SG+P3SG+ABL
satılıyor	sat+VERB^DB+VERB+PASS+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kısa	kısa+ADJ
süreli	süreli+ADJ
satışlar	sat+VERB+POS^DB+NOUN+INF3+A3PL+PNON+NOM
piyasanın	piyasa+NOUN+A3SG+PNON+GEN
son	son+ADJ
zamanlardaki	zaman+NOUN+A3PL+PNON+LOC^DB+ADJ+REL
dalgalanmasının	dalga+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS^DB+NOUN+INF2+A3SG+P3SG+GEN
çoğu	çoğu+ADJ
için	için+POSTP+PCNOM
suçlandı	suçla+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Gen	gen+NOUN+A3SG+PNON+NOM
Probe	Probe+NOUN+PROP+A3SG+PNON+NOM
bir	bir+DET
diğer	diğer+ADJ
aktif	aktif+ADJ
devralınmış	devral+VERB^DB+VERB+PASS+POS+NARR^DB+ADJ+ZERO
hisseydi	hisse+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
MCI	MCI+NOUN+PROP+A3SG+PNON+NOM
Haberler	haber+NOUN+A3PL+PNON+NOM
1	1+NUM+CARD
1\/2	1\/2+NUM+FRACTION
ekledi	ekle+VERB+POS+PAST+A3SG
43	43+NUM+CARD
3\/8'e	3\/8+NUM+FRACTION^DB+NOUN+ZERO+A3SG+PNON+DAT
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Florida	florida+NOUN+PROP+A3SG+PNON+NOM
Milli	milli+ADJ
Bankası	banka+NOUN+A3SG+P3SG+NOM
Fla.	Fla.+NOUN+PROP+A3SG+PNON+NOM
1	1+NUM+CARD
1\/8	1\/8+NUM+FRACTION
24	24+NUM+CARD
3\/4'e	3\/4+NUM+FRACTION^DB+NOUN+ZERO+A3SG+PNON+DAT
düştü	düş+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Florida	florida+NOUN+PROP+A3SG+PNON+NOM
Milli	milli+ADJ
dün	dün+NOUN+A3SG+PNON+NOM
söyledi	söyle+VERB+POS+PAST+A3SG
bu	bu+DET
birleşme	birleş+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
için	için+POSTP+PCNOM
sözünde	söz+NOUN+A3SG+P3SG+LOC
duruyor	dur+VERB+POS+PROG1+A3SG
o	o+PRON+PERS+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İşlemin	işlem+NOUN+A3SG+PNON+GEN
değeri	değer+NOUN+A3SG+P3SG+NOM
açıklanmadı	açıkla+VERB^DB+VERB+PASS+NEG+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
telefon	telefon+NOUN+A3SG+PNON+NOM
endüstrisi	endüstri+NOUN+A3SG+P3SG+NOM
için	için+POSTP+PCNOM
telekomünikasyon	telekomünikasyon+NOUN+A3SG+PNON+NOM
hizmetleri	hizmet+NOUN+A3SG+P3PL+NOM
sağlamayı	sağla+VERB+POS^DB+NOUN+INF2+A3SG+PNON+ACC
şirketler	şirket+NOUN+A3PL+PNON+NOM
edinilecektir	edin+VERB^DB+VERB+PASS+POS+FUT+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
dünkü	dünkü+ADJ
eylem	eylem+NOUN+A3SG+PNON+NOM
tütün	tütün+NOUN+A3SG+PNON+NOM
çıkarlarından	çıkar+NOUN+A3SG+P3PL+ABL
herhangi	herhangi+ADJ
bir	bir+DET
kalıcı	kalıcı+ADJ
direnci	direnç+NOUN+A3SG+PNON+ACC
dinlenmeye	dinlen+VERB+POS^DB+NOUN+INF2+A3SG+PNON+DAT
koydu	koy+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
House	House+NOUN+PROP+A3SG+PNON+NOM
bir	bir+DET
394	394+NUM+CARD
